id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,state,venue,umpire1,umpire2,umpire3
1370353,2023,Ahmedabad,5/29/2023,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,D/L,1,Chennai Super Kings,0,5,DP Conway,Tamil Nadu,"Narendra Modi Stadium, Ahmedabad",Nitin Menon,RJ Tucker,KN Ananthapadmanabhan
1370352,2023,Ahmedabad,5/26/2023,Gujarat Titans,Mumbai Indians,Mumbai Indians,field,normal,0,Gujarat Titans,62,0,Shubman Gill,Gujarat,"Narendra Modi Stadium, Ahmedabad",Nitin Menon,RJ Tucker,J Madanagopal
1370351,2023,Chennai,5/24/2023,Mumbai Indians,Lucknow Super Giants,Mumbai Indians,bat,normal,0,Mumbai Indians,81,0,Akash Madhwal,Maharashtra,"MA Chidambaram Stadium, Chepauk, Chennai",BNJ Oxenford,VK Sharma,CB Gaffaney
1370350,2023,Chennai,5/23/2023,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,normal,0,Chennai Super Kings,15,0,RD Gaikwad,Tamil Nadu,"MA Chidambaram Stadium, Chepauk, Chennai",AK Chaudhary,CB Gaffaney,BNJ Oxenford
1359543,2023,Mumbai,5/21/2023,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,8,C Green,Maharashtra,"Wankhede Stadium, Mumbai",KN Ananthapadmanabhan,RJ Tucker,R Pandit
1359544,2023,Bengaluru,5/21/2023,Royal Challengers Bangalore,Gujarat Titans,Gujarat Titans,field,normal,0,Gujarat Titans,0,6,Shubman Gill,Gujarat,"M Chinnaswamy Stadium, Bengaluru",Nitin Menon,VK Sharma,Tapan Sharma
1359542,2023,Kolkata,5/20/2023,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Lucknow Super Giants,1,0,N Pooran,Uttar Pradesh,"Eden Gardens, Kolkata",J Madanagopal,UV Gandhe,YC Barde
1359541,2023,Delhi,5/20/2023,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,normal,0,Chennai Super Kings,77,0,RD Gaikwad,Tamil Nadu,"Arun Jaitley Stadium, Delhi",CB Gaffaney,NA Patwardhan,AK Chaudhary
1359540,2023,Dharamsala,5/19/2023,Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,4,D Padikkal,Rajasthan,"Himachal Pradesh Cricket Association Stadium, Dharamsala",A Nand Kishore,RJ Tucker,Navdeep Singh
1359539,2023,Hyderabad,5/18/2023,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,8,V Kohli,Karnataka,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",BNJ Oxenford,VK Sharma,HAS Khalid
1359538,2023,Dharamsala,5/17/2023,Delhi Capitals,Punjab Kings,Punjab Kings,field,normal,0,Delhi Capitals,15,0,RR Rossouw,Delhi,"Himachal Pradesh Cricket Association Stadium, Dharamsala",KN Ananthapadmanabhan,MV Saidharshan Kumar,RJ Tucker
1359537,2023,Lucknow,5/16/2023,Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,normal,0,Lucknow Super Giants,5,0,MP Stoinis,Uttar Pradesh,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",AK Chaudhary,A Nand Kishore,CB Gaffaney
1359536,2023,Ahmedabad,5/15/2023,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Gujarat Titans,34,0,Shubman Gill,Gujarat,"Narendra Modi Stadium, Ahmedabad",J Madanagopal,UV Gandhe,A Totre
1359534,2023,Jaipur,5/14/2023,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,112,0,WD Parnell,Karnataka,"Sawai Mansingh Stadium, Jaipur",KN Ananthapadmanabhan,Navdeep Singh,RJ Tucker
1359535,2023,Chennai,5/14/2023,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,0,Kolkata Knight Riders,0,6,RK Singh,West Bengal,"MA Chidambaram Stadium, Chepauk, Chennai",Tapan Sharma,Vinod Seshan,Nitin Menon
1359533,2023,Delhi,5/13/2023,Punjab Kings,Delhi Capitals,Delhi Capitals,field,normal,0,Punjab Kings,31,0,P Simran Singh,Punjab,"Arun Jaitley Stadium, Delhi",CB Gaffaney,NA Patwardhan,GR Sadashiv Iyer
1359532,2023,Hyderabad,5/13/2023,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,bat,normal,0,Lucknow Super Giants,0,7,PN Mankad,Uttar Pradesh,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",A Totre,J Madanagopal,YC Barde
1359531,2023,Mumbai,5/12/2023,Mumbai Indians,Gujarat Titans,Gujarat Titans,field,normal,0,Mumbai Indians,27,0,SA Yadav,Maharashtra,"Wankhede Stadium, Mumbai",Nitin Menon,Tapan Sharma,Vinod Seshan
1359530,2023,Kolkata,5/11/2023,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,9,YBK Jaiswal,Rajasthan,"Eden Gardens, Kolkata",RJ Tucker,MV Saidharshan Kumar,R Pandit
1359529,2023,Chennai,5/10/2023,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,normal,0,Chennai Super Kings,27,0,RA Jadeja,Tamil Nadu,"MA Chidambaram Stadium, Chepauk, Chennai",CB Gaffaney,NA Patwardhan,AK Chaudhary
1359528,2023,Mumbai,5/9/2023,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,6,SA Yadav,Maharashtra,"Wankhede Stadium, Mumbai",HAS Khalid,VK Sharma,Nitin Menon
1359527,2023,Kolkata,5/8/2023,Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,normal,0,Kolkata Knight Riders,0,5,AD Russell,West Bengal,"Eden Gardens, Kolkata",A Totre,J Madanagopal,UV Gandhe
